Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Strain (minNm),Power (W),Temperature Difference (K)
0.0,300.4,309.7,1679.0,30.1,136.0,4093.6,5292.316512261854,9.300000000000011
0.0,299.0,308.7,2248.0,16.8,204.0,3427.2000000000003,3954.888159751119,9.699999999999989
1.0,298.6,309.6,1525.0,42.4,2.0,84.8,6771.179366037201,11.0
0.0,300.2,310.1,1392.0,47.9,201.0,9627.9,6982.3781681625305,9.900000000000034
1.0,300.2,311.6,1751.0,28.0,162.0,4536.0,5134.200154006679,11.400000000000034
0.0,297.9,307.8,1538.0,38.5,123.0,4735.5,6200.770859900414,9.900000000000034
0.0,297.9,309.9,1542.0,33.8,33.0,1115.4,5457.951748934619,12.0
2.0,304.1,313.3,1397.0,49.6,34.0,1686.4,7256.157495947368,9.199999999999989
1.0,301.0,309.7,1288.0,58.4,162.0,9460.8,7876.936204296712,8.699999999999989
0.0,301.6,310.0,1869.0,22.9,18.0,412.2,4482.0159910969505,8.399999999999977
1.0,300.8,310.7,1483.0,40.8,28.0,1142.4,6336.215391172182,9.899999999999975
1.0,304.0,313.2,1437.0,53.9,7.0,377.3,8110.995328964664,9.199999999999989
0.0,300.8,311.7,1490.0,46.4,217.0,10068.8,7239.904989952798,10.899999999999975
2.0,302.3,310.6,1525.0,48.7,114.0,5551.8,7777.274413349332,8.300000000000011
1.0,298.1,308.9,1459.0,50.3,115.0,5784.5,7685.141972795055,10.799999999999956
0.0,300.5,309.7,1589.0,30.5,198.0,6039.0,5075.190571996751,9.199999999999989
0.0,297.4,308.2,1419.0,50.0,52.0,2600.0,7429.866625739861,10.800000000000011
0.0,298.9,310.0,1452.0,48.9,185.0,9046.5,7435.395828810179,11.100000000000025
1.0,298.7,309.7,1629.0,27.9,136.0,3794.4,4759.418622408929,11.0
0.0,300.2,310.0,1486.0,40.1,182.0,7298.2,6240.103599923358,9.800000000000011
1.0,300.1,310.4,1556.0,38.1,92.0,3505.2000000000003,6208.164074611863,10.299999999999956
0.0,298.3,309.0,1471.0,48.3,91.0,4395.3,7440.265297423243,10.699999999999989
1.0,300.6,309.5,1557.0,33.8,84.0,2839.2,5511.044664780286,8.899999999999977
0.0,299.8,309.7,1429.0,42.6,127.0,5410.2,6374.856980811337,9.899999999999975
1.0,296.2,307.0,1516.0,37.6,25.0,940.0,5969.1935934287985,10.800000000000011
0.0,299.7,311.1,1439.0,44.9,174.0,7812.599999999999,6766.05857001185,11.400000000000034
0.0,302.4,310.4,1865.0,23.9,129.0,3083.1,4667.726004826155,8.0
1.0,300.8,310.5,1409.0,50.6,141.0,7134.6,7466.036829158193,9.699999999999989
0.0,301.8,310.6,1372.0,54.7,95.0,5196.5,7859.050070122275,8.800000000000011
0.0,297.8,307.6,1607.0,30.3,62.0,1878.6,5099.024788261985,9.800000000000011
1.0,300.1,311.7,1400.0,48.5,205.0,9942.5,7110.471372624898,11.599999999999966
2.0,303.3,311.4,1692.0,27.9,55.0,1534.5,4943.484535982755,8.099999999999966
0.0,302.5,310.3,1523.0,36.0,72.0,2592.0,5741.574733700706,7.800000000000011
0.0,298.9,310.1,1580.0,37.3,100.0,3729.999999999999,6171.554048222028,11.200000000000044
1.0,298.3,308.9,1363.0,46.1,5.0,230.5,6579.992509115238,10.599999999999966
1.0,303.9,313.1,1437.0,48.3,110.0,5313.0,7268.294515565737,9.200000000000044
0.0,301.9,310.7,1947.0,25.0,137.0,3425.0,5097.23408044944,8.800000000000011
1.0,300.7,311.7,1412.0,49.1,219.0,10752.9,7260.136846641916,11.0
0.0,297.7,309.7,1498.0,41.0,176.0,7216.0,6431.677919939264,12.0
0.0,302.2,310.8,1673.0,32.9,52.0,1710.8,5763.953345369777,8.600000000000023
0.0,300.4,311.2,1705.0,28.7,20.0,574.0,5124.304137147872,10.800000000000011
1.0,298.2,308.7,1269.0,60.9,163.0,9926.7,8092.962587133058,10.5
1.0,297.2,308.4,1378.0,41.9,97.0,4064.3,6046.330165049939,11.199999999999989
1.0,297.2,307.9,1456.0,44.9,85.0,3816.5,6845.991159094686,10.699999999999989
0.0,301.9,310.9,1486.0,40.3,6.0,241.8,6271.22631114492,9.0
1.0,301.2,310.9,1359.0,50.8,118.0,5994.4,7229.558678146976,9.699999999999989
0.0,301.6,310.9,1632.0,31.6,189.0,5972.400000000001,5400.523435226999,9.299999999999956
1.0,298.8,310.2,1581.0,37.5,75.0,2812.5,6208.572481656828,11.399999999999975
2.0,302.9,311.0,1452.0,58.3,123.0,7170.9,8864.69482248739,8.100000000000023
1.0,300.7,310.6,2006.0,19.1,102.0,1948.2,4012.2955295077168,9.900000000000034
2.0,297.5,308.9,1471.0,37.7,197.0,7426.900000000001,5807.412043744436,11.399999999999975
1.0,296.5,307.4,1350.0,55.6,69.0,3836.4,7860.264819281662,10.899999999999975
1.0,300.4,311.8,1442.0,45.1,0.0,0.0,6810.365498402977,11.400000000000034
0.0,297.5,309.1,1515.0,35.1,213.0,7476.3,5568.630058120588,11.600000000000025
1.0,302.6,311.0,1542.0,39.7,141.0,5597.700000000001,6410.671137062261,8.399999999999977
1.0,301.8,311.0,1393.0,49.5,168.0,8316.0,7220.79363464346,9.199999999999989
2.0,302.2,311.3,1758.0,26.4,4.0,105.6,4860.169498809553,9.100000000000025
2.0,297.7,308.5,1720.0,29.9,210.0,6279.0,5385.527566293863,10.800000000000011
0.0,300.7,311.7,1524.0,43.5,222.0,9657.0,6942.291445902725,11.0
0.0,303.6,312.9,1588.0,31.9,53.0,1690.6999999999998,5304.809579047628,9.299999999999956
0.0,303.5,313.0,1465.0,41.0,56.0,2296.0,6289.992091262364,9.5
0.0,297.3,308.6,1273.0,59.8,182.0,10883.6,7971.833246386147,11.300000000000011
1.0,299.1,308.4,1330.0,53.6,62.0,3323.2000000000003,7465.2619029703055,9.299999999999956
1.0,298.7,309.5,1487.0,33.6,183.0,6148.8,5232.1340689945855,10.800000000000011
0.0,303.4,312.8,1449.0,43.9,94.0,4126.599999999999,6661.3388148921895,9.400000000000034
2.0,299.1,308.2,1450.0,46.1,112.0,5163.2,6999.992030973658,9.099999999999966
0.0,302.5,311.8,1335.0,52.7,135.0,7114.5,7367.506011566104,9.300000000000011
0.0,298.8,308.2,1443.0,53.4,21.0,1121.4,8069.306394451527,9.399999999999975
0.0,297.3,308.3,2358.0,14.9,49.0,730.1,3679.2448203251506,11.0
1.0,302.3,311.3,1339.0,50.8,123.0,6248.4,7123.163406945401,9.0
2.0,300.2,310.3,1408.0,42.5,0.0,0.0,6266.430146360441,10.100000000000025
0.0,300.9,310.8,1493.0,45.8,57.0,2610.6,7160.674023229263,9.900000000000034
0.0,298.8,310.1,1653.0,30.3,119.0,3605.7,5244.983182947767,11.300000000000011
0.0,300.5,311.3,1490.0,41.8,39.0,1630.1999999999998,6522.155788362649,10.800000000000011
0.0,301.3,311.3,1509.0,42.5,213.0,9052.5,6715.93969521158,10.0
0.0,295.7,306.2,1397.0,52.0,101.0,5252.0,7607.261890912564,10.5
0.0,301.5,310.5,1702.0,28.7,135.0,3874.5,5115.287766232069,9.0
0.0,298.1,307.7,1664.0,27.6,145.0,4002.0,4809.401361527543,9.599999999999966
2.0,298.4,308.4,1479.0,39.2,58.0,2273.6000000000004,6071.316298621491,10.0
0.0,300.2,311.5,1685.0,31.0,193.0,5983.0,5470.036408675428,11.300000000000011
1.0,300.4,309.2,1528.0,37.2,228.0,8481.6,5952.438432609653,8.800000000000011
0.0,301.2,310.7,1568.0,38.3,49.0,1876.7,6288.882061858095,9.5
0.0,303.1,312.6,1514.0,42.1,138.0,5809.8,6674.774359474042,9.5
2.0,297.3,308.6,1376.0,53.5,112.0,5992.0,7709.049492888874,11.300000000000011
1.0,297.6,309.6,1330.0,53.1,7.0,371.7,7395.623265815732,12.0
0.0,298.6,309.2,1542.0,48.4,42.0,2032.8,7815.528539894543,10.599999999999966
1.0,300.7,310.9,1486.0,38.9,106.0,4123.4,6053.367332593981,10.199999999999989
0.0,296.2,306.8,1655.0,31.1,136.0,4229.6,5389.978155886448,10.600000000000025
0.0,300.0,310.4,1333.0,49.1,131.0,6432.1,6853.939388508268,10.399999999999975
1.0,300.0,311.4,1791.0,24.1,213.0,5133.3,4520.029262205387,11.399999999999975
0.0,302.0,309.9,1388.0,51.4,183.0,9406.2,7471.042433452911,7.899999999999977
2.0,303.2,311.4,1607.0,36.6,43.0,1573.8,6159.218061068934,8.199999999999989
1.0,299.7,311.1,1618.0,30.3,125.0,3787.5,5133.927882643368,11.400000000000034
0.0,301.0,311.9,1889.0,23.5,198.0,4653.0,4648.667009394377,10.899999999999975
0.0,297.7,308.9,1742.0,26.3,24.0,631.2,4797.693692905164,11.199999999999989
1.0,297.6,308.7,1408.0,51.5,4.0,206.0,7593.4388832367695,11.099999999999966
2.0,302.4,310.1,1597.0,28.9,179.0,5173.099999999999,4833.1622739641925,7.700000000000045
0.0,300.4,310.4,1286.0,56.8,46.0,2612.7999999999997,7649.2335687645245,10.0
0.0,298.9,308.6,1522.0,46.4,2.0,92.8,7395.392882354469,9.700000000000044
0.0,299.6,310.9,1448.0,46.3,196.0,9074.8,7020.663710634278,11.299999999999956
1.0,297.6,308.7,1392.0,41.2,178.0,7333.6,6005.719844014536,11.099999999999966
2.0,297.3,308.6,1688.0,29.4,166.0,4880.4,5196.948231274379,11.300000000000011
0.0,301.6,310.8,1535.0,35.4,148.0,5239.2,5690.366773447193,9.199999999999989
0.0,300.9,310.4,1615.0,30.9,200.0,6180.0,5225.882299613941,9.5
0.0,301.6,310.6,1621.0,33.7,137.0,4616.900000000001,5720.599366750238,9.0
0.0,300.4,310.8,1390.0,52.5,144.0,7560.0,7641.9241298571715,10.400000000000034
0.0,297.5,308.7,1443.0,46.2,110.0,5082.0,6981.3100266603105,11.199999999999989
1.0,299.2,308.4,1476.0,32.7,101.0,3302.7000000000003,5054.3199248014025,9.199999999999989
0.0,297.9,307.7,1546.0,37.6,72.0,2707.2000000000003,6087.3174772037755,9.800000000000011
0.0,299.9,309.4,1858.0,22.5,22.0,495.0,4377.809362777377,9.5
0.0,298.3,309.1,1417.0,60.5,143.0,8651.5,8977.467526775752,10.800000000000011
0.0,298.6,309.3,1702.0,27.6,143.0,3946.8,4919.231440697042,10.699999999999989
0.0,296.9,307.8,1605.0,37.0,84.0,3108.0,6218.782657780996,10.900000000000034
0.0,300.7,310.8,2113.0,18.5,95.0,1757.5,4093.54758750506,10.100000000000025
0.0,296.2,307.1,1441.0,41.7,3.0,125.1,6292.57866921382,10.900000000000034
0.0,297.5,309.0,1470.0,43.5,191.0,8308.5,6696.304741126644,11.5
1.0,298.0,307.6,1472.0,46.7,116.0,5417.200000000001,7198.6872943377,9.600000000000025
0.0,296.6,307.6,1809.0,25.1,86.0,2158.6,4754.89472898776,11.0
0.0,299.6,311.0,1430.0,38.3,124.0,4749.2,5735.3962681486455,11.399999999999975
0.0,303.6,312.5,1710.0,31.4,180.0,5652.0,5622.8225313950115,8.899999999999977
2.0,300.1,309.1,1560.0,35.4,14.0,495.6,5783.0437567280915,9.0
1.0,298.1,309.3,1752.0,25.2,77.0,1940.4,4623.419076435027,11.199999999999989
0.0,298.9,309.1,1369.0,44.4,198.0,8791.199999999999,6365.243707291351,10.200000000000044
0.0,300.0,309.4,1395.0,44.5,181.0,8054.5,6500.74059844068,9.399999999999975
0.0,302.4,310.2,1539.0,37.7,29.0,1093.3000000000002,6075.871607969196,7.800000000000011
1.0,297.4,308.4,1517.0,41.0,18.0,738.0,6513.254609177479,11.0
2.0,300.5,309.4,1642.0,36.2,103.0,3728.6,6224.584132214625,8.899999999999977
0.0,300.9,310.4,1427.0,47.0,65.0,3055.0,7023.4492561204615,9.5
0.0,297.4,308.5,2100.0,16.9,176.0,2974.3999999999996,3716.5041091967255,11.100000000000025
2.0,298.0,308.6,1526.0,41.8,160.0,6688.0,6679.738075866713,10.600000000000025
0.0,300.2,311.5,1500.0,40.8,17.0,693.5999999999999,6408.849013323177,11.300000000000011
1.0,302.0,310.4,1828.0,26.3,82.0,2156.6,5034.548835034811,8.399999999999977
1.0,298.6,309.5,1580.0,33.9,70.0,2373.0,5608.999523719217,10.899999999999975
1.0,300.8,309.6,1546.0,42.3,186.0,7867.799999999999,6848.232161854246,8.800000000000011
0.0,302.0,310.6,1358.0,53.1,194.0,10301.4,7551.320597727642,8.600000000000023
0.0,301.8,311.0,1322.0,53.0,166.0,8798.0,7337.294362214082,9.199999999999989
1.0,297.6,308.4,1507.0,46.0,51.0,2346.0,7259.3828644050545,10.799999999999956
0.0,297.1,308.0,1467.0,42.8,169.0,7233.2,6575.10209655115,10.899999999999975
2.0,296.4,307.5,1596.0,35.1,75.0,2632.5,5866.358793901293,11.100000000000025
1.0,300.8,310.7,1572.0,36.2,167.0,6045.400000000001,5959.224272741407,9.899999999999975
1.0,300.5,309.7,1347.0,54.3,136.0,7384.799999999999,7659.422800937666,9.199999999999989
0.0,298.2,308.7,1428.0,54.9,45.0,2470.5,8209.73558606699,10.5
0.0,297.4,308.3,1483.0,38.8,23.0,892.4,6025.61659748727,10.900000000000034
0.0,298.7,309.7,1510.0,40.6,162.0,6577.2,6419.949307365862,11.0
0.0,300.1,309.4,1560.0,47.7,26.0,1240.2,7792.406417964123,9.299999999999956
2.0,297.4,308.4,1487.0,46.2,150.0,6930.0,7194.184344867555,11.0
0.0,297.5,308.9,1390.0,44.6,140.0,6244.0,6491.9964988881875,11.399999999999975
2.0,296.1,306.8,1645.0,31.0,41.0,1271.0,5340.18391232705,10.699999999999989
1.0,299.5,309.1,1420.0,49.5,5.0,247.5,7360.7515873608845,9.600000000000025
0.0,302.3,310.1,1513.0,40.4,22.0,888.8,6401.015975640227,7.800000000000011
0.0,300.7,310.2,1286.0,64.9,160.0,10384.0,8740.057369943972,9.5
1.0,301.7,310.3,1787.0,26.7,33.0,881.1,4996.4832040488145,8.600000000000023
1.0,300.0,310.4,1385.0,52.1,128.0,6668.8,7556.42044980197,10.399999999999975
2.0,300.0,311.2,1393.0,43.1,45.0,1939.5,6287.19607380067,11.199999999999989
1.0,302.8,312.2,1452.0,50.3,60.0,3018.0,7648.2701470174225,9.399999999999975
1.0,297.6,307.2,1470.0,42.6,44.0,1874.4,6557.760505103334,9.599999999999966
0.0,303.7,312.2,1568.0,33.8,96.0,3244.7999999999997,5549.979469733776,8.5
1.0,302.1,310.8,1409.0,41.3,39.0,1610.6999999999998,6093.820573996705,8.699999999999989
0.0,297.4,309.2,1584.0,42.8,186.0,7960.799999999999,7099.496742288358,11.800000000000011
1.0,302.2,311.1,1434.0,58.6,102.0,5977.2,8799.852350117299,8.900000000000034
0.0,302.4,310.2,1400.0,53.7,175.0,9397.5,7872.831189896022,7.800000000000011
0.0,300.2,309.7,1678.0,30.5,142.0,4331.0,5359.452347269067,9.5
1.0,300.5,311.8,1636.0,34.4,2.0,68.8,5893.46026652626,11.300000000000011
1.0,299.8,309.3,1640.0,31.1,211.0,6562.1,5341.126390123127,9.5
1.0,300.7,311.7,1499.0,38.9,3.0,116.7,6106.324112757993,11.0
0.0,298.2,307.8,1585.0,34.6,78.0,2698.8,5742.936090517262,9.600000000000025
0.0,298.1,307.5,1391.0,57.4,161.0,9241.4,8361.181295921042,9.399999999999975
0.0,297.5,308.9,1596.0,30.7,5.0,153.5,5130.974785548994,11.399999999999975
0.0,298.4,309.2,2118.0,17.7,210.0,3717.0,3925.7970117788777,10.800000000000011
1.0,300.5,311.7,1269.0,64.0,87.0,5568.0,8504.919631798288,11.199999999999989
0.0,297.9,309.9,1472.0,45.0,183.0,8235.0,6936.636579126263,12.0
0.0,299.8,309.1,1668.0,30.3,200.0,6060.0,5292.578311649652,9.300000000000011
0.0,302.3,310.1,1653.0,29.7,34.0,1009.8,5141.122129820088,7.800000000000011
0.0,300.5,309.7,1580.0,42.8,196.0,8388.8,7081.5687202118725,9.199999999999989
0.0,303.0,311.2,1800.0,23.7,61.0,1445.7,4467.344753404685,8.199999999999989
0.0,302.8,312.1,1520.0,39.9,48.0,1915.2,6351.043708497125,9.300000000000011
0.0,297.4,308.6,1488.0,36.4,71.0,2584.4,5671.957040497156,11.200000000000044
1.0,302.5,311.9,1532.0,38.8,96.0,3724.8,6224.709795920769,9.399999999999975
0.0,298.4,308.7,1386.0,44.9,135.0,6061.5,6516.856968753595,10.300000000000011
0.0,303.5,311.6,2183.0,17.0,110.0,1870.0,3886.2548322456937,8.100000000000023
0.0,301.4,310.8,1362.0,53.2,4.0,212.8,7587.825904362357,9.400000000000034
2.0,302.5,311.8,2370.0,14.7,198.0,2910.6,3648.3315486138263,9.300000000000011
1.0,300.1,309.6,1584.0,36.7,165.0,6055.500000000001,6087.652580420157,9.5
0.0,298.0,308.0,1524.0,37.0,49.0,1813.0,5904.937551687375,10.0
0.0,300.5,309.3,1373.0,48.8,211.0,10296.8,7016.474920429491,8.800000000000011
0.0,299.1,308.3,1524.0,34.1,128.0,4364.8,5442.118121960527,9.199999999999989
1.0,297.9,307.7,1364.0,46.8,89.0,4165.2,6684.806512014505,9.800000000000011
0.0,296.5,307.6,1415.0,44.2,106.0,4685.200000000001,6549.487644448882,11.100000000000025
1.0,301.7,310.1,1644.0,34.6,5.0,173.0,5956.710998618535,8.400000000000034
0.0,301.9,310.8,1525.0,43.2,62.0,2678.4,6898.937467283186,8.900000000000034
0.0,300.4,310.0,1423.0,44.2,189.0,8353.800000000001,6586.516549859193,9.600000000000025
1.0,301.4,310.9,1557.0,39.3,174.0,6838.2,6407.812287747493,9.5
0.0,302.8,312.4,1376.0,57.1,8.0,456.8,8227.78927184962,9.599999999999966
1.0,297.7,308.9,1573.0,35.1,9.0,315.90000000000003,5781.818535593192,11.199999999999989
1.0,300.3,309.9,1447.0,46.5,28.0,1302.0,7046.121083103867,9.599999999999966
1.0,300.4,309.3,1467.0,40.3,166.0,6689.799999999999,6191.042394649797,8.900000000000034
0.0,295.6,306.1,1474.0,41.2,156.0,6427.200000000001,6359.505064710795,10.5
1.0,297.5,308.4,1350.0,52.2,157.0,8195.4,7379.601143282424,10.899999999999975
1.0,301.7,311.0,1505.0,44.0,187.0,8228.0,6934.54218402387,9.300000000000011
1.0,297.7,308.8,2089.0,19.1,111.0,2120.1000000000004,4178.307757298913,11.100000000000025
1.0,299.3,308.5,1304.0,60.6,8.0,484.8,8275.206376967802,9.199999999999989
1.0,300.7,311.0,1559.0,42.8,121.0,5178.799999999999,6987.446604310321,10.300000000000011
0.0,303.6,312.6,1606.0,33.6,184.0,6182.400000000001,5650.845537865033,9.0
1.0,297.6,308.7,1419.0,41.7,81.0,3377.7000000000003,6196.508765867044,11.099999999999966
0.0,303.5,311.8,1451.0,45.2,173.0,7819.6,6868.06608347391,8.300000000000011
0.0,298.3,308.6,1447.0,38.1,146.0,5562.6,5773.273403575427,10.300000000000011
1.0,297.4,308.7,1481.0,48.0,117.0,5616.0,7444.317951946374,11.300000000000011
0.0,297.5,308.9,1390.0,47.4,187.0,8863.8,6899.565785813904,11.399999999999975
1.0,297.6,308.6,1389.0,49.0,34.0,1666.0,7127.331253199164,11.0
2.0,298.7,309.6,1654.0,34.3,136.0,4664.799999999999,5940.982091399562,10.900000000000034
0.0,302.2,311.5,1588.0,30.6,39.0,1193.4,5088.626116578604,9.300000000000011
1.0,301.7,311.1,1506.0,39.5,158.0,6241.0,6229.4640728032,9.400000000000034
1.0,302.2,310.8,1356.0,48.3,36.0,1738.8,6858.599417611093,8.600000000000023
1.0,297.4,308.5,1497.0,36.4,56.0,2038.4,5706.263232274357,11.100000000000025
0.0,300.6,310.1,1485.0,49.9,19.0,948.1,7759.890933999469,9.5
0.0,301.3,310.3,1626.0,31.3,180.0,5634.0,5329.586273108941,9.0
0.0,300.7,310.2,1639.0,31.4,48.0,1507.1999999999998,5389.360309331242,9.5
0.0,298.8,310.1,1653.0,30.3,119.0,3605.7,5244.983182947767,11.300000000000011
2.0,297.3,308.6,1688.0,29.4,166.0,4880.4,5196.948231274379,11.300000000000011
1.0,299.2,310.6,1443.0,50.9,85.0,4326.5,7691.529877857354,11.400000000000034
2.0,298.8,310.3,1708.0,27.1,78.0,2113.8,4847.142361272668,11.5
0.0,302.6,312.4,1398.0,41.6,40.0,1664.0,6090.165854543029,9.799999999999956
0.0,296.7,307.8,1646.0,34.6,238.0,8234.800000000001,5963.957605672816,11.100000000000025
0.0,299.8,311.3,1560.0,35.4,178.0,6301.2,5783.0437567280915,11.5
0.0,296.7,307.9,1420.0,50.1,138.0,6913.8,7449.972818722835,11.199999999999989
0.0,301.5,310.8,1350.0,58.5,13.0,760.5,8270.24266057513,9.300000000000011
0.0,296.5,307.3,1566.0,37.2,164.0,6100.8,6100.4702784468045,10.800000000000011
1.0,302.6,310.5,1965.0,20.2,40.0,808.0,4156.641239964655,7.899999999999977
0.0,299.2,310.6,1498.0,41.1,88.0,3616.8,6447.364939256189,11.400000000000034
0.0,299.6,309.2,1559.0,39.1,110.0,4301.0,6383.391640853589,9.599999999999966
1.0,297.4,308.7,1582.0,31.9,161.0,5135.9,5284.766217917726,11.300000000000011
1.0,298.5,309.3,1692.0,26.7,118.0,3150.6,4730.861545187798,10.800000000000011
0.0,300.6,309.8,1502.0,42.4,133.0,5639.2,6669.056660844508,9.199999999999989
0.0,299.1,308.6,1260.0,57.8,152.0,8785.6,7626.530325854581,9.5
0.0,302.1,311.0,1740.0,30.8,182.0,5605.6,5612.141116372806,8.899999999999977
1.0,302.2,311.4,1642.0,32.1,42.0,1348.2,5519.589796798052,9.199999999999989
0.0,298.1,307.7,1388.0,40.3,109.0,4392.7,5857.6461102753365,9.599999999999966
1.0,295.5,306.0,1641.0,36.6,21.0,768.6,6289.531324339839,10.5
0.0,302.3,311.8,1435.0,44.8,98.0,4390.4,6732.223617132686,9.5
1.0,297.6,309.2,1442.0,48.1,0.0,0.0,7263.383159050626,11.599999999999966
2.0,298.2,307.9,1462.0,45.5,171.0,7780.5,6966.062830314888,9.699999999999989
0.0,302.8,310.8,1516.0,39.5,23.0,908.5,6270.828376075467,8.0
0.0,302.7,310.7,1398.0,57.7,19.0,1096.3,8447.177158825309,8.0
2.0,300.3,311.8,2141.0,18.5,204.0,3774.0,4147.792420657044,11.5
1.0,302.6,310.5,1965.0,20.2,40.0,808.0,4156.641239964655,7.899999999999977
0.0,297.5,308.4,1511.0,42.8,209.0,8945.199999999999,6772.310339392493,10.899999999999975
0.0,300.6,310.9,1471.0,37.9,86.0,3259.4,5838.22059570064,10.299999999999956
0.0,303.2,311.5,1507.0,39.2,225.0,8820.0,6186.256701840829,8.300000000000011
0.0,298.3,309.0,1657.0,32.2,179.0,5763.8,5587.364422311495,10.699999999999989
2.0,299.0,310.1,2053.0,19.7,137.0,2698.9,4235.296248035032,11.100000000000025
