Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Strain (minNm),Power (W),Temperature Difference (K)
2,302.4,312.0,1477,39.7,18,714.6,6140.441808975977,9.600000000000025
0,301.9,310.6,1462,38.8,22,853.5999999999999,5940.290941015773,8.700000000000045
1,297.8,307.4,1488,36.1,57,2057.7000000000003,5625.21014181174,9.599999999999966
0,298.6,308.3,1422,40.4,179,7231.599999999999,6016.02426791831,9.699999999999989
1,300.3,311.5,1540,41.5,151,6266.5,6692.6395496974565,11.199999999999989
0,298.3,309.1,1437,38.0,93,3534.0,5718.326948064142,10.800000000000011
0,299.5,310.0,1412,48.9,56,2738.4,7230.563987796125,10.5
1,297.6,309.5,1709,32.2,65,2093.0,5762.707180283853,11.899999999999975
1,298.7,309.1,1423,49.5,200,9900.0,7376.3024709961555,10.400000000000034
0,300.4,309.7,1584,32.6,71,2314.6,5407.56060277104,9.300000000000011
0,301.0,311.9,1454,41.9,33,1382.7,6379.799753252984,10.899999999999975
0,299.1,310.4,1450,40.9,85,3476.5,6210.4050773714225,11.299999999999956
0,304.2,313.4,1639,32.7,63,2060.1000000000004,5612.486691564702,9.199999999999989
1,299.5,309.1,1420,49.5,5,247.5,7360.7515873608845,9.600000000000025
0,298.8,309.7,1740,28.5,152,4332.0,5193.052656383928,10.899999999999975
0,300.3,309.6,1404,44.6,87,3880.2,6557.383513984904,9.300000000000011
0,301.4,310.6,1550,36.8,159,5851.2,5973.214832025393,9.200000000000044
0,300.5,309.7,1589,30.5,198,6039.0,5075.190571996751,9.199999999999989
0,301.3,311.1,1504,39.1,2,78.2,6158.19180746876,9.800000000000011
0,296.7,308.0,1580,32.2,39,1255.8000000000002,5327.722261467811,11.300000000000011
0,302.1,311.4,1549,44.6,31,1382.6,7234.606170343744,9.299999999999956
0,298.7,309.9,1621,34.1,130,4433.0,5788.499655969826,11.199999999999989
0,298.0,308.9,1390,53.9,88,4743.2,7845.70877332003,10.899999999999975
1,301.2,310.9,1460,46.7,166,7752.200000000001,7140.002343568643,9.699999999999989
0,302.1,311.3,1634,30.6,50,1530.0,5236.029643885036,9.199999999999989
0,299.9,309.5,1349,51.3,176,9028.8,7246.994517374399,9.600000000000025
1,298.7,308.5,1660,27.0,50,1350.0,4693.539424463151,9.800000000000011
0,303.2,311.2,1439,43.9,30,1317.0,6615.366842394659,8.0
1,300.5,311.1,1296,61.3,202,12382.6,8319.440001530347,10.600000000000025
0,302.1,310.1,1753,28.9,176,5086.4,5305.280817945667,8.0
1,300.3,311.1,1350,58.7,130,7631.0,8298.516994457439,10.800000000000011
1,298.3,308.7,1667,28.6,18,514.8000000000001,4992.6399890359235,10.399999999999975
1,298.5,309.4,1365,48.7,56,2727.2000000000003,6961.298081456943,10.899999999999975
0,303.6,312.6,1699,27.9,160,4464.0,4963.936304157624,9.0
0,304.2,313.3,1464,45.9,48,2203.2,7036.916216628848,9.100000000000025
2,299.9,311.4,1497,37.0,162,5994.0,5800.322516322835,11.5
0,300.0,311.4,1484,37.0,183,6771.0,5749.952314110279,11.399999999999975
1,303.0,311.2,1460,43.9,103,4521.7,6711.907984639473,8.199999999999989
0,300.2,311.3,1487,36.9,71,2619.9,5746.004379342267,11.100000000000025
0,299.2,310.5,1384,48.7,93,4529.1,7058.195270869165,11.300000000000011
1,301.5,310.6,1382,58.1,67,3892.7,8408.388961528986,9.100000000000025
1,299.6,309.1,1366,55.2,95,5244.0,7896.204639238729,9.5
0,299.2,310.5,1458,44.1,91,4013.1,6733.2498707328605,11.300000000000011
2,300.7,311.3,1374,53.1,66,3504.6,7640.290501677306,10.600000000000025
0,298.6,309.3,1702,27.6,143,3946.8,4919.231440697042,10.699999999999989
0,302.5,312.0,1673,29.9,42,1255.8,5238.364894424204,9.5
0,298.5,308.2,1595,32.3,46,1485.8,5395.004704132191,9.699999999999989
2,301.5,310.5,1453,48.0,124,5952.0,7303.574601065551,9.0
1,297.8,309.0,1434,43.3,96,4156.799999999999,6502.2799788409375,11.199999999999989
1,298.1,308.8,1628,37.6,12,451.2000000000001,6410.18942618871,10.699999999999989
2,300.8,310.5,1582,31.1,193,6002.3,5152.232895838285,9.699999999999989
2,298.6,309.8,1279,55.9,152,8496.8,7487.054084010707,11.199999999999989
1,298.1,307.7,1498,38.3,81,3102.2999999999997,6008.128398382288,9.599999999999966
0,304.1,313.6,1556,37.4,129,4824.599999999999,6094.103317335528,9.5
1,301.5,310.0,1417,44.6,49,2185.4,6618.100028003283,8.5
0,300.6,310.4,1446,49.7,155,7703.5,7525.810865380493,9.799999999999956
0,301.1,310.7,1334,48.2,106,5109.200000000001,6733.35459048798,9.599999999999966
0,298.1,308.4,1438,45.6,105,4788.0,6866.767558510427,10.299999999999956
1,297.3,308.7,1655,34.1,21,716.1,5909.911740055559,11.399999999999975
0,298.0,309.2,1527,32.4,99,3207.6,5180.988940594142,11.199999999999989
