Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Strain (minNm),Power (W),Temperature Difference (K)
2.0,300.6,310.4,1510.0,42.8,124.0,5307.2,6767.828333873371,9.799999999999956
1.0,295.5,306.1,1822.0,24.3,164.0,3985.2,4636.425270020888,10.600000000000025
0.0,301.1,310.1,1417.0,46.9,35.0,1641.5,6959.392181913765,9.0
0.0,301.8,310.8,1456.0,46.6,35.0,1631.0,7105.193496966868,9.0
1.0,301.9,311.1,1417.0,52.5,171.0,8977.5,7790.36438273929,9.200000000000044
1.0,297.5,308.8,1455.0,46.1,147.0,6776.7,7024.129934528739,11.300000000000011
0.0,298.0,307.7,1492.0,38.7,202.0,7817.400000000001,6046.560548511203,9.699999999999989
0.0,298.1,308.7,1568.0,32.9,10.0,329.0,5402.198951308912,10.599999999999966
0.0,301.5,310.6,1522.0,36.6,202.0,7393.200000000001,5833.434902891672,9.100000000000025
0.0,301.9,310.9,1309.0,48.0,124.0,5952.0,6579.751653678463,9.0
0.0,297.6,308.5,1452.0,42.6,116.0,4941.6,6477.461396877579,10.899999999999975
0.0,302.4,311.8,1465.0,40.2,143.0,5748.6,6167.260538262124,9.400000000000034
0.0,300.3,311.5,1403.0,60.1,58.0,3485.8,8830.001167616248,11.199999999999989
0.0,297.3,308.7,1549.0,36.1,218.0,7869.8,5855.813514560743,11.399999999999975
0.0,303.1,312.8,2329.0,15.1,113.0,1706.3,3682.7738760726834,9.699999999999989
0.0,300.9,310.3,1321.0,48.8,150.0,7320.0,6750.738069837843,9.400000000000034
0.0,302.1,311.2,1492.0,45.0,162.0,7290.0,7030.884358733957,9.099999999999966
0.0,302.4,311.9,1867.0,25.9,121.0,3133.8999999999996,5063.755174737684,9.5
0.0,296.8,308.0,1584.0,40.4,227.0,9170.8,6701.3941212254595,11.199999999999989
0.0,296.9,307.8,1571.0,35.0,102.0,3570.0,5758.015735254492,10.900000000000034
0.0,298.8,309.7,1751.0,29.6,160.0,4736.0,5427.583019949919,10.899999999999975
0.0,298.4,309.1,1467.0,42.5,139.0,5907.5,6529.014932322987,10.700000000000044
1.0,299.1,308.9,1325.0,48.4,220.0,10648.0,6715.677895823781,9.799999999999956
1.0,299.4,308.7,1487.0,52.6,205.0,10783.0,8190.781310390332,9.300000000000011
0.0,297.9,308.8,1613.0,31.4,57.0,1789.8,5303.8671012515515,10.900000000000034
