Type,Rotational speed (rpm),Tool wear (min),Strain (minNm),Power (W),Temperature Difference (K)
2.0,1510.0,124.0,5307.2,6767.828333873371,9.799999999999955
1.0,1822.0,164.0,3985.2000000000003,4636.425270020888,10.600000000000023
0.0,1417.0,35.0,1641.5,6959.392181913765,9.0
0.0,1456.0,35.0,1631.0,7105.193496966868,9.0
1.0,1417.0,171.0,8977.5,7790.36438273929,9.200000000000045
1.0,1455.0,147.0,6776.7,7024.129934528739,11.300000000000011
0.0,1492.0,202.0,7817.400000000001,6046.560548511203,9.699999999999989
0.0,1568.0,10.0,329.0,5402.198951308912,10.599999999999966
0.0,1522.0,202.0,7393.200000000001,5833.434902891672,9.100000000000023
0.0,1309.0,124.0,5952.0,6579.751653678463,9.0
0.0,1452.0,116.0,4941.6,6477.461396877579,10.899999999999977
0.0,1465.0,143.0,5748.6,6167.260538262124,9.400000000000034
0.0,1403.0,58.0,3485.8,8830.001167616248,11.199999999999989
0.0,1549.0,218.0,7869.8,5855.813514560743,11.399999999999977
0.0,2329.0,113.0,1706.3,3682.7738760726834,9.699999999999989
0.0,1321.0,150.0,7320.0,6750.738069837843,9.400000000000034
0.0,1492.0,162.0,7290.0,7030.884358733957,9.099999999999966
0.0,1867.0,121.0,3133.8999999999996,5063.755174737684,9.5
0.0,1584.0,227.0,9170.8,6701.3941212254595,11.199999999999989
0.0,1571.0,102.0,3570.0,5758.015735254492,10.900000000000034
0.0,1751.0,160.0,4736.0,5427.583019949919,10.899999999999977
0.0,1467.0,139.0,5907.5,6529.014932322987,10.700000000000045
1.0,1325.0,220.0,10648.0,6715.677895823781,9.799999999999955
1.0,1487.0,205.0,10783.0,8190.781310390332,9.300000000000011
0.0,1613.0,57.0,1789.8,5303.8671012515515,10.900000000000034
0.0,1639.0,121.0,3678.3999999999996,5217.72463069012,9.099999999999966
0.0,1352.0,176.0,9169.6,7376.375774824739,11.5
1.0,1710.0,138.0,3822.6,4960.260640752925,11.199999999999989
0.0,1571.0,123.0,3837.6,5132.859741141147,11.399999999999977
1.0,1600.0,190.0,7999.0,7053.922704860282,11.100000000000023
1.0,1403.0,34.0,1611.6,6964.094098918637,9.100000000000023
1.0,1437.0,102.0,4814.400000000001,7102.763998648093,9.300000000000011
0.0,1524.0,104.0,4846.400000000001,7437.029456990046,8.199999999999989
0.0,1464.0,74.0,2812.0,5825.769416816912,11.199999999999989
0.0,1568.0,49.0,1876.6999999999998,6288.882061858095,9.5
0.0,1522.0,48.0,1689.6000000000001,5610.298048682701,10.600000000000023
0.0,1647.0,85.0,2830.4999999999995,5743.365441513251,9.100000000000023
0.0,1481.0,52.0,2230.7999999999997,6653.359169552072,9.399999999999977
0.0,1776.0,138.0,3974.4,5356.289810664454,11.199999999999989
2.0,1397.0,80.0,4232.0,7738.926039024514,8.5
0.0,1514.0,230.0,9476.0,6532.083221147995,8.199999999999989
0.0,1451.0,0.0,0.0,6169.1036059522285,9.399999999999977
0.0,1481.0,90.0,3879.0,6684.377161018515,10.5
2.0,1452.0,198.0,8415.0,6462.256088434205,8.799999999999955
0.0,1471.0,29.0,1438.4,7640.520885138569,8.899999999999977
0.0,1639.0,94.0,2716.6,4960.2711127284365,9.0
0.0,1796.0,90.0,2340.0,4889.993685067632,11.5
0.0,1362.0,46.0,2737.0,8486.384235142108,11.100000000000023
0.0,1395.0,157.0,6578.3,6120.922046621674,11.400000000000034
1.0,1762.0,127.0,3530.6,5129.550596879367,8.5
1.0,1581.0,113.0,4904.2,7185.3878854375025,9.600000000000023
2.0,1607.0,34.0,1077.8,5334.623293330196,7.899999999999977
0.0,1372.0,44.0,2406.8,7859.050070122275,11.199999999999989
1.0,1469.0,191.0,10466.8,8430.065950838754,11.300000000000011
0.0,1544.0,184.0,7709.599999999999,6774.697949809221,9.700000000000045
1.0,1512.0,27.0,1012.5,5937.6101152847095,11.399999999999977
0.0,1365.0,183.0,9314.699999999999,7275.771506081281,10.700000000000045
1.0,1433.0,14.0,539.0,5777.4412498291895,11.0
0.0,1635.0,99.0,3940.2,6814.4286249016195,8.5
0.0,1632.0,122.0,3721.0,5212.530530836185,8.400000000000034
0.0,1376.0,202.0,10180.8,7262.356905450452,11.100000000000023
0.0,1399.0,80.0,3832.0,7017.490702054152,10.5
0.0,1639.0,95.0,2755.0,4977.434680592548,9.200000000000045
1.0,1276.0,50.0,3295.0000000000005,8805.716656404,11.399999999999977
0.0,1427.0,65.0,3055.0,7023.4492561204615,9.5
0.0,1515.0,183.0,7466.4,6472.937503456409,9.400000000000034
0.0,1438.0,7.0,286.3,6159.008621558693,8.699999999999989
0.0,1316.0,200.0,12240.0,8434.045301533302,10.800000000000011
0.0,1309.0,167.0,8283.2,6799.076708801078,10.699999999999989
1.0,1357.0,96.0,4675.200000000001,6920.499264862325,10.5
0.0,1683.0,161.0,4685.1,5128.681422911874,10.599999999999966
0.0,1526.0,85.0,3544.5000000000005,6663.757841235454,9.800000000000011
2.0,1781.0,70.0,1743.0,4643.996508316039,9.5
1.0,1630.0,223.0,7225.2,5530.459707379472,8.699999999999989
0.0,1437.0,55.0,2200.0,6019.291524278044,8.899999999999977
0.0,1314.0,146.0,9212.6,8682.6709441384,9.400000000000034
1.0,1406.0,119.0,5973.8,7391.24598005173,9.5
0.0,1422.0,140.0,5656.0,6016.02426791831,9.5
1.0,1434.0,189.0,9053.1,7193.053371512261,8.199999999999989
0.0,1502.0,103.0,4326.0,6606.1410319686165,9.599999999999966
1.0,1483.0,181.0,8163.1,7004.0027975947405,11.5
0.0,1551.0,61.0,2183.7999999999997,5814.648178823204,9.5
2.0,1526.0,47.0,1795.4,6104.449629141352,9.199999999999989
2.0,1419.0,3.0,118.80000000000001,5884.45436758597,10.0
0.0,1430.0,35.0,1627.5,6963.340116681777,8.600000000000023
0.0,1666.0,128.0,4096.0,5582.819584939302,11.5
0.0,1800.0,128.0,3110.4,4580.442088933919,9.600000000000023
0.0,1567.0,9.0,353.7,6448.96715150952,8.900000000000034
0.0,1711.0,38.0,1098.2,5178.171979181424,9.600000000000023
0.0,1468.0,178.0,9380.6,8101.497247175312,9.199999999999989
0.0,1385.0,158.0,7110.0,6526.658737832795,9.600000000000023
1.0,1524.0,131.0,5292.4,6447.553434815404,9.700000000000045
0.0,1484.0,223.0,9945.800000000001,6931.02360025185,8.300000000000011
1.0,1527.0,102.0,3182.4,4989.100461312879,11.399999999999977
0.0,1650.0,60.0,1944.0,5598.318108697012,11.400000000000034
0.0,1688.0,91.0,2948.4,5727.249071200336,9.5
0.0,1449.0,26.0,1209.0,7055.860020329997,10.699999999999989
0.0,1515.0,38.0,1387.0,5790.740658729386,11.0
1.0,1390.0,175.0,9345.0,7772.928543511866,11.0
1.0,1444.0,46.0,2217.2000000000003,7288.578732132416,11.0
0.0,1706.0,107.0,3156.5,5270.231115907117,10.5
1.0,1412.0,59.0,3416.1,8561.342635856761,9.600000000000023
0.0,1389.0,64.0,3929.6,8930.982427478135,11.399999999999977
0.0,1716.0,9.0,239.4,4779.9960542899435,9.800000000000011
1.0,1924.0,29.0,603.2,4190.800824084688,9.899999999999977
0.0,1706.0,170.0,4743.0,4984.388072332494,9.300000000000011
0.0,1887.0,56.0,1215.2,4288.054060664316,11.399999999999977
1.0,2293.0,170.0,2771.0,3913.9950953768916,9.300000000000011
0.0,1461.0,154.0,6252.400000000001,6211.61982653081,10.600000000000023
0.0,1390.0,196.0,9858.8,7321.691118701253,11.0
1.0,1430.0,131.0,6183.200000000001,7068.164591556556,11.600000000000023
1.0,1327.0,21.0,1337.7,8851.95042828933,11.199999999999989
0.0,1453.0,11.0,448.79999999999995,6208.038410905718,10.0
2.0,1471.0,223.0,10079.6,6962.732742102083,8.800000000000011
0.0,1339.0,156.0,9718.8,8735.690556155481,8.800000000000011
0.0,1388.0,221.0,9259.9,6090.207742445077,8.799999999999955
0.0,1628.0,93.0,3245.7,5949.883270584733,10.5
0.0,1448.0,28.0,1388.8,7521.056588498061,9.199999999999989
0.0,1499.0,38.0,1607.3999999999999,6640.0388167008505,9.199999999999989
1.0,1468.0,34.0,1397.4,6318.245481193649,10.800000000000011
0.0,1852.0,77.0,1740.2,4383.066294484383,9.600000000000023
1.0,1418.0,221.0,8795.8,5910.005987835166,9.099999999999966
0.0,1318.0,11.0,556.6,6983.844244734207,9.399999999999977
0.0,1543.0,203.0,9601.9,7642.856135677736,9.699999999999989
0.0,1704.0,103.0,3059.1,5299.741142899837,11.100000000000023
0.0,1681.0,94.0,2979.7999999999997,5580.274894889893,10.900000000000034
0.0,1493.0,43.0,1771.6000000000001,6441.479689018464,10.900000000000034
0.0,1827.0,103.0,2399.9,4457.825727664309,8.399999999999977
0.0,1591.0,196.0,7389.200000000001,6281.164215905777,12.0
0.0,1743.0,134.0,3658.2000000000003,4982.974355638378,9.5
0.0,1658.0,18.0,513.0,4948.322588669283,9.800000000000011
0.0,1370.0,85.0,3774.0,6369.893264418665,8.5
1.0,1629.0,136.0,3794.3999999999996,4759.418622408929,11.0
0.0,1354.0,207.0,11157.3,7642.510560485841,10.5
1.0,1350.0,2.0,94.4,6672.742796224721,9.300000000000011
1.0,1684.0,44.0,1223.2,4902.476279877897,10.899999999999977
0.0,1446.0,7.0,374.5,8101.224975812,10.899999999999977
2.0,1448.0,173.0,8892.199999999999,7793.998158241941,9.5
0.0,1545.0,18.0,579.6,5209.703097447955,9.699999999999989
0.0,1332.0,111.0,6060.6,7615.97457453852,11.200000000000045
0.0,1446.0,225.0,9720.0,6541.549887010811,7.7000000000000455
1.0,1566.0,100.0,3379.9999999999995,5542.9004142876865,9.600000000000023
0.0,1654.0,89.0,3043.8,5923.661443902771,9.900000000000034
1.0,1500.0,9.0,387.0,6754.424205218055,10.100000000000023
0.0,1415.0,156.0,7425.6,7053.294386329564,9.699999999999989
0.0,1645.0,169.0,5255.900000000001,5357.410312044234,10.600000000000023
0.0,1633.0,192.0,6393.599999999999,5694.545091676466,11.0
